股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00028.HK,天安,090204,4.480,-0.250,-5.285%,34.40萬,1.56百萬,無盈利,0.25,2.23%,65.68億,00028.HK,1.18,0.73,2.28%,4.47%,32.34%,43.76%,24.10%,26.49%,2023/12,00028.HK,27.82億,-45.000%,11.07億,39.801%,12.17億,43.758%,0.830,-20.192%,2023/12,0028.HK,6568000000.000001,M
00032.HK,港通控股,100104,8.470,-0.030,-0.353%,1.28萬,10.79萬,7.27,0.42,4.96%,31.57億,00032.HK,4.64,4.64,6.11%,7.21%,100.00%,59.41%,30.00%,4.84%,2023/12,00032.HK,9.75億,39.000%,3.87億,44.198%,5.20億,59.414%,1.400,N/A,2023/12,0032.HK,3157000000.0,M
00034.HK,九龍建業,090204,4.960,+0.040,+0.813%,4.11萬,20.38萬,52.99,0.37,4.44%,64.79億,00034.HK,3.07,0.26,0.71%,1.91%,59.33%,11.46%,286.21%,134.05%,2023/12,00034.HK,29.43億,-35.000%,6.23億,21.166%,3.37億,11.458%,0.290,-71.845%,2023/12,0034.HK,6479000000.000001,M
00038.HK,第一拖拉機股份,060202,10.150,+0.820,+8.789%,1.51千萬,1.49億,11.63,1.48,3.19%,39.78億,00038.HK,1.07,0.82,7.22%,14.90%,15.93%,8.64%,36.00%,3.32%,2023/12,00038.HK,126.43億,-10.000%,10.92億,8.638%,10.93億,8.644%,0.973,42.255%,2023/12,0038.HK,3978000000.0,M
00051.HK,海港企業,100401,4.820,+0.020,+0.417%,7.00千,3.30萬,無盈利,0.23,0.00%,34.16億,00051.HK,0.98,0.31,-0.63%,-0.75%,100.00%,-6.78%,N/A,3.67%,2023/12,00051.HK,15.79億,38.000%,4.08億,25.839%,-1.07億,-6.776%,-0.150,46.429%,2023/12,0051.HK,3415999999.9999995,M
00062.HK,載通,100509,11.020,-0.120,-1.077%,23.28萬,2.57百萬,29.53,0.34,4.54%,58.92億,00062.HK,1.04,1.01,1.66%,2.45%,100.00%,5.09%,96.39%,28.31%,2023/12,00062.HK,79.53億,8.000%,2.15億,2.721%,4.02億,5.094%,0.830,-29.060%,2023/12,0062.HK,5892000000.0,M
00071.HK,美麗華酒店,090202,10.970,-0.150,-1.349%,12.00萬,1.32百萬,10.15,0.36,4.83%,75.80億,00071.HK,8.17,8.01,4.45%,4.77%,37.86%,38.28%,37.59%,0.37%,2023/12,00071.HK,25.53億,84.000%,11.28億,44.189%,9.77億,38.280%,1.410,104.348%,2023/12,0071.HK,7580000000.0,M
00081.HK,中國海外宏洋集團,090201,2.550,-0.040,-1.544%,9.35百萬,2.42千萬,8.94,0.27,3.92%,90.76億,00081.HK,1.77,0.45,1.51%,7.35%,11.19%,4.08%,22.56%,139.28%,2023/12,00081.HK,618.35億,-4.000%,46.11億,7.457%,25.23億,4.080%,0.709,-30.683%,2023/12,0081.HK,9076000000.0,M
00086.HK,新鴻基公司,040201,4.340,0.000,0.000%,19.70萬,85.75萬,22.50,0.40,5.99%,85.28億,00086.HK,2.21,2.21,-1.15%,-2.22%,100.00%,-12.52%,-107.88%,71.37%,2023/12,00086.HK,39.98億,-3.000%,4.83千萬,1.283%,-4.71億,-12.523%,-0.241,69.182%,2023/12,0086.HK,8528000000.0,M
00098.HK,興發鋁業,080401,7.740,+0.180,+2.381%,7.00千,5.32萬,3.71,0.52,8.27%,32.56億,00098.HK,1.80,1.52,6.25%,15.12%,11.47%,4.63%,30.57%,59.30%,2023/12,00098.HK,190.22億,N/A,11.58億,6.087%,8.82億,4.634%,2.094,70.274%,2023/12,0098.HK,3256000000.0,M
